7zip 26.03-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260817.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 4.0.0-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.15.0-1
appstream 1.2.0-1
archlinux-keyring 20260909-1
argon2 20190702-7
asciidoctor 2.0.26-1
aspnet-runtime 10.0.12.sdk112-1
aspnet-runtime-8.0 8.0.31.sdk131-1
aspnet-runtime-9.0 9.0.20.sdk121-1
at-spi2-core 2.60.7-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.20-1
bat 0.26.1-3
binutils 2.47-4
bison 3.8.2-8
blas 3.12.1-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-libs 5.87-2
boost-libs 1.92.0-1
breezy 3.3.21-2
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
capstone 5.0.9-1
cava 1.0.0-1
cblas 3.12.1-2
cdparanoia 10.2-10
cef 152.0.6-1
cfitsio 1:4.7.0-1
chafa 1.18.2-2
chromium 153.0.8010.52-1
cinnamon-desktop 6.6.2-2
clang 22.1.8-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmake 4.4.3-2
cmatrix 2.0-4
compiler-rt 22.1.8-1
composefs 1.0.8-1
composer 2.10.3-1
containerd 2.4.0-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cronie 1.7.2-2
cryptsetup 2.8.8-1
cups 2:2.4.19-1
cups-filters 2.0.1-3
cups-pdf 3.0.3-1
curl 8.22.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbeaver 26.2.0-2
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
discord 1:1.0.158-1
dnsmasq 2.93-1
docker 1:29.8.1-1
